Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,0000,0,0000,0,7500
0,0000,0,0000,0,7000
0,0072,0,0043,0,6500
0,0145,0,0087,0,6000
0,0507,0,0174,0,5500
0,4130,0,0348,0,5000
0,6377,0,0565,0,4500
0,8188,0,2391,0,4000
0,9565,0,5609,0,3500
1,0000,0,8609,0,3000
1,0000,0,9261,0,2500
1,0000,0,9652,0,2000
1,0000,0,9826,0,1500
1,0000,0,9913,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
82,8804,0,4500
TP,FP,FN,TN
88,13,50,217
