Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0500,0,0571,0,9000
0,1000,0,1143,0,8500
0,3000,0,1143,0,8000
0,3500,0,1143,0,7500
0,4000,0,1143,0,7000
0,4000,0,1143,0,6500
0,5000,0,1429,0,6000
0,5500,0,1429,0,5500
0,8500,0,3714,0,5000
0,9500,0,4000,0,4500
0,9500,0,5143,0,4000
0,9500,0,5714,0,3500
0,9500,0,6286,0,3000
0,9500,0,8000,0,2500
0,9500,0,8286,0,2000
0,9500,0,8857,0,1500
0,9500,0,9429,0,1000
1,0000,1,0000,0,0500
Best %,Threshold
74,5455,0,5500
TP,FP,FN,TN
11,5,9,30
