Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0068,0.0000,0.6500
0.0068,0.0000,0.6000
0.0405,0.0000,0.5500
0.8716,0.5273,0.5000
0.9797,0.6273,0.4500
1.0000,0.9273,0.4000
1.0000,0.9864,0.3500
1.0000,0.9955,0.3000
1.0000,0.9955,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
63.3152,0.5000
TP,FP,FN,TN
129,116,19,104
