Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,0000,0,0000,0,9000
0,0000,0,0000,0,8500
0,0000,0,0000,0,8000
0,0000,0,0000,0,7500
0,0000,0,0000,0,7000
0,0000,0,0000,0,6500
0,0000,0,0000,0,6000
0,0000,0,0000,0,5500
0,9524,0,4118,0,5000
0,9524,0,4412,0,4500
0,9524,0,4412,0,4000
0,9524,0,5000,0,3500
1,0000,0,5000,0,3000
1,0000,0,5294,0,2500
1,0000,0,5588,0,2000
1,0000,0,7353,0,1500
1,0000,0,9118,0,1000
1,0000,0,9706,0,0500
Best %,Threshold
72,7273,0,5000
TP,FP,FN,TN
20,14,1,20
