Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,1264,0,0000,0,9000
0,9973,0,0000,0,8500
0,9973,0,0000,0,8000
0,9973,0,0000,0,7500
0,9973,0,0000,0,7000
1,0000,0,0000,0,6500
1,0000,0,0000,0,6000
1,0000,0,0000,0,5500
1,0000,0,1652,0,5000
1,0000,0,2549,0,4500
1,0000,0,4129,0,4000
1,0000,0,5619,0,3500
1,0000,0,8133,0,3000
1,0000,0,8905,0,2500
1,0000,0,9390,0,2000
1,0000,0,9605,0,1500
1,0000,0,9749,0,1000
1,0000,0,9982,0,0500
Best %,Threshold
100,0000,0,6500
TP,FP,FN,TN
364,0,0,557
