Sensitivity,False Positive Rate,Threshold
0,0000,0,0000,1,0000
0,0000,0,0000,0,9500
0,3077,0,0345,0,9000
0,4615,0,0690,0,8500
0,6538,0,1034,0,8000
0,7308,0,1034,0,7500
0,8846,0,1034,0,7000
0,8846,0,1034,0,6500
0,8846,0,1379,0,6000
0,8846,0,1379,0,5500
0,9231,0,1379,0,5000
0,9231,0,1724,0,4500
0,9231,0,1724,0,4000
0,9231,0,2069,0,3500
0,9231,0,2069,0,3000
0,9231,0,2414,0,2500
0,9231,0,2414,0,2000
0,9231,0,3103,0,1500
0,9231,0,4138,0,1000
1,0000,0,6207,0,0500
Best %,Threshold
89,0909,0,7000
TP,FP,FN,TN
23,3,3,26
